Wack89 data

DMPC, 25% Water, 18C

d=57.94A, lambda=141.7A, gamma=98.4 deg

-------------------------------------------------------------

Model NLLSQ fitting results:

A	18.35121	0.69418 
x0	100.35199	3.16650 
Rhm	2.19347		0.16311
zh 	19.90369	0.20673 

factor	0.88663		0.08306

chi-square= 2.37805

-------------------------------------------------------------

			Intensity

  h   k         Wack data       Model fit

  3  -2    	8.60200    	5.31042
  3  -1    	19.5200    	17.6441
  3   0    	1.44700    	9.21143E-02
  3   2    	1.09800    	2.29209
  3   3    	2.21100    	1.71411
  3   4   	0.99800   	0.730601
  2  -2    	2.26800    	1.50983
  2  -1    	50.7200    	50.0793
  2   0    	15.7500    	18.2240
  2   1    	11.5000    	9.25906
  2   2    	5.15300    	4.29798
  2   3    	2.00500    	1.39344
  2   4   	0.60500   	0.255193
  1  -1    	37.0000    	13.9262
  1   0   	100.000    	88.6632
  1   1    	7.21500    	15.5913
  1   3   	0.57900    	1.82602
  0   1   	0.28400    	1.88669E-02
  0   2   	0.93700    	7.34746E-03
  0   3   	0.61000    	8.22723E-04
