Wack89 data

DMPC, 25% Water, 18C

d=57.94A, lambda=141.7A, gamma=98.4 deg

-------------------------------------------------------------

Model result (A trial, no fitting)

A=20.5A, x0=101.5A,

Rhm=1.8, zh=21.9A (dl/2, where dl=43.8A from Wack)
 
-------------------------------------------------------------

		  Intensity

h	k	Wack	Model

3	-2 	8.602	1.85633
3	-1 	19.52	1.80717
3	0 	1.447	3.83678E-03
3	1	0	1.29852E-05
3 	2 	1.098	1.00753E-01
3 	3 	2.211	0.589278
3 	4 	0.998	1.23768

2 	-2 	2.268	1.35310 
2 	-1 	50.72	20.6232
2 	0 	15.75 	3.24138
2 	1 	11.50	1.68314
2 	2 	5.153	0.560912
2 	3 	2.005	7.09674E-02
2 	4 	0.605	9.78250E-04

1 	-1 	37.00	22.5646
1 	0 	100.0	100.0000
1 	1 	7.215	20.3067
1 	3 	0.579	2.90826

0 	1 	0.284	1.18474E-02 
0 	2 	0.937	4.72236E-03
0 	3 	0.61	6.22697E-04
