f1 free, f2=0 (fixed)

----------------------------------------
h   k	 q(0.01A^-1)	|F(h,k)|

0   1    4.48223    	 5.59855
0   2    8.96446   	-3.71579
1   0    10.8443   	-99.0000
1  -1    11.1125   	-61.7912
1   1    12.3244    	 27.9711
1  -2    13.0214    	 7.73710
0   3    13.4467    	 1.42452
1   2    15.0454   	-10.7325
1  -3    15.9940    	 4.29695
0   4    17.9289   	0.434826
1   3    18.4666    	 3.09970
1  -4    19.5510   	-6.62680
2  -1    21.4961   	-72.1963
2   0    21.6886   	-39.7589
2  -2    22.2250   	-14.0029
1   4    22.2677       -0.289183
0   5    22.4112   	-1.31163
2   1    22.7791    	 30.8431
2  -3    23.7908    	 10.9843
2   2    24.6488   	-22.8169
2  -4    26.0429   	-4.97489
2   3    27.1370    	 14.5573
2   4    30.0907   	-7.46172
3  -1    32.1850    	 43.2405
3  -2    32.4583    	 28.3027
3   0    32.5329   	0.643702
3  -3    33.3375   	-6.00996
3   1    33.4826       -10.50418
3  -4    34.7767   	-1.13529
3   2    34.9851    	 13.9500
3   3    36.9731   	-13.3638
3   4    39.3732   	10.28900
4  -1    42.9519   	-64.9651
4  -2    42.9922   	-109.474
4   0    43.3772    	 28.5499
4  -3    43.4969   	-14.5890
4   1    44.2547   	-3.99110
4  -4    44.4501    	 18.4507
4   2    45.5582   	-14.9546
4   3    47.2526    	 26.3111
4   4    49.2975   	-29.2488
