DMPC, 25% Water, 18C

d=57.94A, lambda=141.7A, gamma=98.4deg

-----------------------------------------------------------------------
h   k	 q(0.01A^-1)	|F(h,k)|	f1 free
			Wack data	f2=0

0   1    4.48223	5.33		5.60
0   2    8.96446	9.68		-3.72
0   3    13.4467	7.81		1.42
0   4*   17.9289			0.43
0   5*   22.4112			-1.31

1  -4*   19.5510			-6.63
1  -3*   15.9940			4.30
1  -2*   13.0214			7.74
1  -1    11.1125	60.83		-61.79
1   0    10.8443	100.00		-99.00
1   1    12.3244 	26.86		27.97
1   2*   15.0454			-10.73
1   3    18.4666	7.61		3.10
1   4*   22.2677			-0.29

2  -4*   26.0429			-4.97
2  -3*   23.7908			10.98
2  -2    22.2250	15.06		-14.00
2  -1    21.4961	71.22		-72.20
2   0    21.6886	39.69		-39.76
2   1    22.7791	33.91		30.84
2   2    24.6488	22.70		-22.82
2   3    27.1370	14.16		14.56
2   4    30.0907	7.78		-7.46

3  -4*   34.7767			-1.14
3  -3*   33.3375			-6.01
3  -2    32.4583	29.33		28.30
3  -1    32.1850	44.18		43.24
3   0    32.5329	12.03		0.64
3   1*   33.4826			-10.50
3   2    34.9851	10.48		13.95
3   3    36.9731	14.87		-13.36
3   4    39.3732	9.99		10.29

4  -4*   44.4501			18.45
4  -3*   43.4969			-14.59
4  -2*   42.9922			-109.47
4  -1*   42.9519			-64.97
4   0*   43.3772			28.55
4   1*   44.2547			-3.99
4   2*   45.5582			-14.95
4   3*   47.2526			26.31
4   4*   49.2975			-29.25
